"","","mpn","name","status","type","wifi","bluetooth","threadZigbee","operatingTemp","gpio","flash","sram","rom","psram","freq","dimensions","spq","moq","preFirmware","idfSupports","voltageRange"
"FALSE","72","ESP32-S2-SOLO-U-N16","ESP32-S2-SOLO-U","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","36","16, Quad","320","128","0, Quad","240","18*19.2*3.2","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","73","ESP32-S2-SOLO-U-H4","ESP32-S2-SOLO-U_High Temp Version","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","36","4, Quad","320","128","0, Quad","240","18*19.2*3.2","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","74","ESP32-S2-SOLO-U-N4R2","ESP32-S2-SOLO-U(integrates PSRAM)","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","36","4, Quad","320","128","2, Quad","240","18*19.2*3.2","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","75","ESP32-S2-WROOM-N4","ESP32-S2-WROOM","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","4, Quad","320","128","0, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","76","ESP32-S2-WROOM-H4","ESP32-S2-WROOM_High Temp Version","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","37","4, Quad","320","128","0, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","77","ESP32-S2-WROOM-I-N4","ESP32-S2-WROOM-I","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","4, Quad","320","128","0, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","78","ESP32-S2-WROOM-I-H4","ESP32-S2-WROOM-I_High Temp Version","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","37","4, Quad","320","128","0, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","79","ESP32-S2-WROVER-N4R2","ESP32-S2-WROVER","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","4, Quad","320","128","2, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","80","ESP32-S2-WROVER-N8R2","ESP32-S2-WROVER(8MB)","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","8, Quad","320","128","2, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","81","ESP32-S2-WROVER-N16R2","ESP32-S2-WROVER(16MB)","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","16, Quad","320","128","2, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","82","ESP32-S2-WROVER-I-N4R2","ESP32-S2-WROVER-I","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","4, Quad","320","128","2, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
"FALSE","83","ESP32-S2-WROVER-I-N8R2","ESP32-S2-WROVER-I(8MB)","EOL","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","37","8, Quad","320","128","2, Quad","240","18*31*3.3","650","3250","NO","-","3.0 ~ 3.6"
